#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
LiI,54.697,-1.199,4.231,0.98,1,5.392,1615,453.69,1.45,0.9,2.66,7,10.451,457.4,386.85,1.4,1.273333333
CaO,28.332,-3.323,3.634,1,2,6.113,1757,1115,1.8,1.14,3.44,6,13.618,90.2,54.8,0.6,1.26
CaS,46.695,-2.488,2.378,1,2,6.113,1757,1115,1.8,1.14,2.58,6,10.36,717.87,388.36,1,0.88
CaSe,53.051,-2.029,2.077,1,2,6.113,1757,1115,1.8,1.14,2.55,6,9.752,958,494,1.15,1.013333333
CaTe,65.451,-1.652,1.554,1,2,6.113,1757,1115,1.8,1.14,2.1,6,9.009,1261,722.66,1.4,1.293333333
TbN,30.271,-1.852,0.016,1.1,1,5.86,3503,1629,1.75,0.9815,3.04,5,14.534,77.36,63.05,0.65,0.63
TbP,46.264,-1.616,0.001,1.1,1,5.86,3503,1629,1.75,0.9815,2.19,5,10.486,550,317.3,1,0.55
TbS,42.813,-2.344,0.001,1.1,1,5.86,3503,1629,1.75,0.9815,2.58,6,10.36,717.87,388.36,1,0.88
TbAs,50.147,-1.539,0.001,1.1,1,5.86,3503,1629,1.75,0.9815,2.18,5,9.81,887,1090,1.15,0.66
TbSe,48.63,-1.772,0.001,1.1,1,5.86,3503,1629,1.75,0.9815,2.55,6,9.752,958,494,1.15,1.013333333
TbTe,59.125,-1.311,0.001,1.1,1,5.86,3503,1629,1.75,0.9815,2.1,6,9.009,1261,722.66,1.4,1.293333333
YbN,29.899,-0.708,0.001,1.1,3,6.254,1469,1097,1.75,1.084,3.04,5,14.534,77.36,63.05,0.65,0.63
YbO,26.777,-3.649,3.46,1.1,3,6.254,1469,1097,1.75,1.084,3.44,6,13.618,90.2,54.8,0.6,1.26
YbP,48.784,-0.741,0.001,1.1,3,6.254,1469,1097,1.75,1.084,2.19,5,10.486,550,317.3,1,0.55
YbS,45.422,-2.588,2.223,1.1,3,6.254,1469,1097,1.75,1.084,2.58,6,10.36,717.87,388.36,1,0.88
YbAs,53.2,-0.809,0.001,1.1,3,6.254,1469,1097,1.75,1.084,2.18,5,9.81,887,1090,1.15,0.66
YbSe,51.759,-2.095,1.962,1.1,3,6.254,1469,1097,1.75,1.084,2.55,6,9.752,958,494,1.15,1.013333333
YbTe,64.332,-1.672,1.469,1.1,3,6.254,1469,1097,1.75,1.084,2.1,6,9.009,1261,722.66,1.4,1.293333333
LaN,37.412,-1.504,0.001,1.1,3,5.58,3743,1193,1.95,1.172,3.04,5,14.534,77.36,63.05,0.65,0.63
LaP,55.386,-1.58,0.001,1.1,3,5.58,3743,1193,1.95,1.172,2.19,5,10.486,550,317.3,1,0.55
LaS,50.783,-2.503,0.001,1.1,3,5.58,3743,1193,1.95,1.172,2.58,6,10.36,717.87,388.36,1,0.88
LaAs,59.478,-1.572,0.001,1.1,3,5.58,3743,1193,1.95,1.172,2.18,5,9.81,887,1090,1.15,0.66
LaSe,56.894,-2.001,0.001,1.1,3,5.58,3743,1193,1.95,1.172,2.55,6,9.752,958,494,1.15,1.013333333
LaTe,68.193,-1.598,0.001,1.1,3,5.58,3743,1193,1.95,1.172,2.1,6,9.009,1261,722.66,1.4,1.293333333
CeC,34.993,-0.054,0.001,1.12,4,5.54,3633,1068,1.85,1.08,2.55,4,11.26,4300,3800,0.7,0.3
CeN,32.223,-1.684,0.001,1.12,4,5.54,3633,1068,1.85,1.08,3.04,5,14.534,77.36,63.05,0.65,0.63
CeO,30.985,-3.24,0.001,1.12,4,5.54,3633,1068,1.85,1.08,3.44,6,13.618,90.2,54.8,0.6,1.26
CeP,48.783,-1.497,0.001,1.12,4,5.54,3633,1068,1.85,1.08,2.19,5,10.486,550,317.3,1,0.55
CeS,45.861,-2.376,0.004,1.12,4,5.54,3633,1068,1.85,1.08,2.58,6,10.36,717.87,388.36,1,0.88
CeAs,53.366,-1.42,0.001,1.12,4,5.54,3633,1068,1.85,1.08,2.18,5,9.81,887,1090,1.15,0.66
CeSe,51.977,-1.811,0.001,1.12,4,5.54,3633,1068,1.85,1.08,2.55,6,9.752,958,494,1.15,1.013333333
CeTe,63.859,-1.355,0.001,1.12,4,5.54,3633,1068,1.85,1.08,2.1,6,9.009,1261,722.66,1.4,1.293333333
PrN,35.582,-1.477,0.001,1.13,3,5.46,3563,1208,1.85,1.06,3.04,5,14.534,77.36,63.05,0.65,0.63
PrO,33.208,-3.06,0.001,1.13,3,5.46,3563,1208,1.85,1.06,3.44,6,13.618,90.2,54.8,0.6,1.26
PrP,52.633,-1.519,0.001,1.13,3,5.46,3563,1208,1.85,1.06,2.19,5,10.486,550,317.3,1,0.55
PrS,48.971,-2.354,0.001,1.13,3,5.46,3563,1208,1.85,1.06,2.58,6,10.36,717.87,388.36,1,0.88
PrAs,56.577,-1.496,0.001,1.13,3,5.46,3563,1208,1.85,1.06,2.18,5,9.81,887,1090,1.15,0.66
PrSe,54.941,-1.843,0.001,1.13,3,5.46,3563,1208,1.85,1.06,2.55,6,9.752,958,494,1.15,1.013333333
PrTe,66.017,-1.441,0.001,1.13,3,5.46,3563,1208,1.85,1.06,2.1,6,9.009,1261,722.66,1.4,1.293333333
